116 NGVS-UCD116 NGVS-J122138.78+154442.4 s 185.4115935 15.7450999 0.022 18.612 0.005 15.509 0.020                            1.017 0.015  0.348 0
117 NGVS-UCD117 NGVS-J122140.43+113036.7 l 185.4184395 11.5102054 0.033 19.751 0.002 17.963 0.153 -0.042 0.005 -0.229 0.007 -0.233 0.010  0.319 0
118 NGVS-UCD118 NGVS-J122142.55+131644.2 l 185.4273021 13.2789532 0.054 21.074 0.003               0.922 0.010  0.593 0.007  0.648 0.009  0.023 1
119 NGVS-UCD119 NGVS-J122154.64+102242.9 l 185.4776538 10.3785814 0.027 20.843 0.003 17.901 0.148  1.007 0.009  0.756 0.006  0.882 0.009 -0.064 1
120 NGVS-UCD120 NGVS-J122157.93+125150.6 l 185.4913596 12.8640649 0.046 21.308 0.004               0.979 0.012  0.709 0.007  0.799 0.010  0.034 1
121 NGVS-UCD121 NGVS-J122203.29+114405.8 l 185.5136877 11.7349457 0.029 21.202 0.003 18.641 0.262  0.955 0.011  0.584 0.008  0.821 0.009  0.004 0
122 NGVS-UCD122 NGVS-J122204.09+075110.6 l 185.5170539  7.8529556 0.023 21.170 0.003               1.084 0.011  0.754 0.007  0.904 0.009  0.006 0
123 NGVS-UCD123 NGVS-J122209.22+121733.8 l 185.5384008 12.2927339 0.032 21.361 0.004 18.302 0.196  1.111 0.012  0.800 0.008  0.998 0.010 -0.027 1
124 NGVS-UCD124 NGVS-J122223.51+104243.8 l 185.5979422 10.7121663 0.039 21.177 0.003 18.499 0.251  0.856 0.009  0.731 0.006  0.802 0.009  0.087 1
125 NGVS-UCD125 NGVS-J122223.59+125302.5 l 185.5982830 12.8840360 0.042 21.224 0.003 18.360 0.195  0.957 0.011  0.810 0.006  0.893 0.009  0.018 1
126 NGVS-UCD126 NGVS-J122232.39+075258.3 l 185.6349460  7.8828713 0.023 21.327 0.004               0.880 0.012  0.594 0.009  0.694 0.012  0.016 1
127 NGVS-UCD127 NGVS-J122233.94+093452.9 l 185.6414199  9.5813501 0.023 21.065 0.003               0.889 0.009  0.533 0.007  0.647 0.010  0.054 1
128 NGVS-UCD128 NGVS-J122235.90+120929.1 l 185.6495859 12.1580775 0.028 19.423 0.001               0.392 0.003 -0.711 0.005 -0.739 0.007 -0.315 0
129 NGVS-UCD129 NGVS-J122236.43+054014.6 l 185.6517932  5.6707207 0.021 21.225 0.003               0.871 0.013  0.629 0.007  0.653 0.011  0.024 1
130 NGVS-UCD130 NGVS-J122236.72+135024.6 l 185.6530161 13.8401630 0.047 21.271 0.003               0.906 0.010  0.703 0.007  0.814 0.009  0.016 1
131 NGVS-UCD131 NGVS-J122238.45+104832.2 l 185.6602274 10.8089420 0.041 21.357 0.006               0.873 0.014  0.677 0.012  0.853 0.012 -0.044 0
132 NGVS-UCD132 NGVS-J122239.73+164241.2 l 185.6655317 16.7114454 0.024 21.373 0.005               0.995 0.014  0.834 0.008  0.868 0.014  0.015 1
133 NGVS-UCD133 NGVS-J122239.74+164245.8 l 185.6655818 16.7127148 0.024 21.294 0.004               0.929 0.013  0.693 0.008  0.706 0.014 -0.021 1
134 NGVS-UCD134 NGVS-J122241.18+094601.4 l 185.6715994  9.7670692 0.022 21.172 0.003 18.444 0.248  1.125 0.010  0.686 0.006  0.794 0.008  0.032 0
135 NGVS-UCD135 NGVS-J122241.45+045101.7 l 185.6727056  4.8504755 0.019 19.554 0.002 16.785 0.047  1.358 0.006  0.992 0.004  1.220 0.004 -0.001 0
136 NGVS-UCD136 NGVS-J122241.69+045040.9 l 185.6736913  4.8447005 0.019 20.510 0.004 17.761 0.114  1.273 0.011  0.901 0.007  1.121 0.008 -0.018 0
137 NGVS-UCD137 NGVS-J122253.83+155026.5 l 185.7242841 15.8406947 0.026 20.186 0.002 17.658 0.161  0.159 0.004  0.061 0.005  0.007 0.007 -0.927 0
138 NGVS-UCD138 NGVS-J122255.75+082106.5 l 185.7322722  8.3518064 0.024 21.122 0.003               1.005 0.011  0.562 0.008  0.646 0.012  0.073 1
139 NGVS-UCD139 NGVS-J122301.72+131023.9 l 185.7571618 13.1733051 0.053 20.461 0.002 17.664 0.118  1.160 0.006  0.829 0.004  0.940 0.004  0.004 1
140 NGVS-UCD140 NGVS-J122304.28+162649.1 l 185.7678140 16.4469710 0.025 21.063 0.003               0.915 0.010  0.712 0.006  0.765 0.009  0.059 1
141 NGVS-UCD141 NGVS-J122304.74+120056.4 l 185.7697328 12.0156623 0.027 21.401 0.004               1.199 0.012  0.797 0.009  0.892 0.010  0.087 0
142 NGVS-UCD142 NGVS-J122309.78+080934.9 l 185.7907680  8.1597032 0.022 21.364 0.004               0.905 0.011  0.669 0.007  0.718 0.012  0.045 1
143 NGVS-UCD143 NGVS-J122314.63+153418.2 l 185.8109770 15.5717173 0.027 21.190 0.003               0.988 0.012  0.625 0.008  0.771 0.013 -0.004 0
144 NGVS-UCD144 NGVS-J122316.20+092856.2 l 185.8174870  9.4822691 0.023 21.436 0.004               1.067 0.014  0.628 0.008  0.700 0.013  0.105 0
145 NGVS-UCD145 NGVS-J122319.26+162429.8 l 185.8302609 16.4082824 0.024 20.461 0.002               0.974 0.007  0.832 0.005  0.934 0.006  0.137 1
146 NGVS-UCD146 NGVS-J122321.78+155148.8 l 185.8407522 15.8635691 0.026 21.489 0.004               0.927 0.011  0.678 0.008  0.758 0.011 -0.052 0
147 NGVS-UCD147 NGVS-J122322.70+074845.6 l 185.8445888  7.8126600 0.022 19.699 0.001 15.832 0.024  1.732 0.006  1.188 0.002  1.472 0.002  0.052 1
148 NGVS-UCD148 NGVS-J122325.51+164122.2 l 185.8562741 16.6895074 0.026 20.457 0.002               0.912 0.007  0.773 0.004  0.876 0.005  0.031 1
149 NGVS-UCD149 NGVS-J122326.14+164734.1 l 185.8589213 16.7928003 0.026 21.219 0.003               1.005 0.012  0.628 0.007  0.704 0.011  0.057 0
150 NGVS-UCD150 NGVS-J122327.96+053326.7 l 185.8664995  5.5574151 0.021 21.212 0.003               0.855 0.011  0.678 0.007  0.734 0.009 -0.013 1
151 NGVS-UCD151 NGVS-J122334.06+131758.7 l 185.8919200 13.2996310 0.069 19.324 0.001 16.893 0.059  1.079 0.003  0.757 0.002  0.842 0.002  0.113 0
152 NGVS-UCD152 NGVS-J122334.39+070459.6 l 185.8932997  7.0832356 0.020 20.370 0.002 18.040 0.156  1.050 0.006  0.745 0.003  0.828 0.005  0.023 1
153 NGVS-UCD153 NGVS-J122337.43+131142.4 s 185.9059444 13.1951196 0.059 17.573 0.003 14.105 0.006  1.686 0.014  1.114 0.007  1.481 0.009  0.287 0
154 NGVS-UCD154 NGVS-J122337.86+144837.4 l 185.9077367 14.8103916 0.036 21.376 0.004               0.938 0.012  0.686 0.008  0.804 0.010 -0.025 1
155 NGVS-UCD155 NGVS-J122340.97+132539.7 l 185.9207231 13.4276881 0.052 21.307 0.004               0.980 0.010  0.569 0.009  0.631 0.010  0.015 1
156 NGVS-UCD156 NGVS-J122343.32+070629.0 l 185.9304975  7.1080530 0.021 21.450 0.004               0.988 0.013  0.691 0.007  0.791 0.013  0.088 1
157 NGVS-UCD157 NGVS-J122343.76+171354.2 l 185.9323262 17.2317242 0.025 21.053 0.003               0.868 0.009  0.778 0.005  0.810 0.008  0.005 1
158 NGVS-UCD158 NGVS-J122347.90+131036.7 l 185.9495936 13.1768626 0.053 21.072 0.003               1.096 0.011  0.650 0.007  0.732 0.009  0.053 0
159 NGVS-UCD159 NGVS-J122350.93+170553.3 l 185.9622174 17.0981407 0.027 21.467 0.004               0.906 0.013  0.718 0.008  0.712 0.013 -0.053 1
160 NGVS-UCD160 NGVS-J122352.64+135256.8 l 185.9693435 13.8824373 0.038 19.608 0.001 17.068 0.063  1.032 0.004  0.801 0.002  0.890 0.003  0.107 0
161 NGVS-UCD161 NGVS-J122352.70+071022.2 l 185.9695937  7.1728207 0.022 20.218 0.002 16.896 0.055  1.349 0.008  1.067 0.003  1.208 0.005 -0.025 1
