rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,has_ls_dr10,hyperleda_type,is_lit_host,is_cluster,score_lum,score_lit,score_field,score_dist,total_score
198,1,NGC 4546,188.8729132,-3.7931266,58.8398679893169,295.2272815953799,14.216739313080032,CF4,-23.373000000000005,10.661200000000004,45835291743.81916,7.391,7.269589,7.306874,,30.764,,,,,,0.0035260000731796,True,E-SO,True,False,17.015706806282836,30,20,8.626608549535975,75.64231535581881
11,1,MESSIER 085,186.35022,18.19108,79.23721946311622,267.7119829089331,17.741894808901662,CF4,-25.100000000000005,11.352000000000004,224905460583.5801,6.145,5.789463,5.808144,,31.264,,30.276,,,,0.0024319998919963,True,,True,True,39.620418848167574,30,0,5.806484152878671,75.42690300104624
6,1,NGC 1399,54.6209166666667,-35.4501944444444,-53.63586625891352,236.71549088504472,20.739582044538317,CF4,-25.277999999999995,11.4232,264972009887.89612,6.306,5.751033,5.8014064,,31.564,,32.196,,,,0.0047530001029372,True,E,True,True,41.950261780104604,30,0,3.4083343643693476,75.35859614447395
3,1,NGC 2974,145.6387045,-3.6991485,35.01421079392015,239.5122433735335,22.428488158692858,CF4,-25.49900000000001,11.511600000000003,324788018763.5394,6.255,6.369305,5.982826,,31.754,,,,,,0.0062939999625086,True,E,False,False,44.84293193717278,0,20,2.0572094730457136,66.9001414102185
72,1,MESSIER 059,190.5093968,11.6469518,74.36210484327466,294.3636119305879,15.4170045294956,CF4,-24.194000000000003,10.989600000000005,97633756658.26486,6.746,6.5882516,6.633,,30.934,,31.266,,,,0.0015579999890178,True,E,True,True,27.761780104712138,30,0,7.666396376403519,65.42817648111566
22,1,NGC 7331,339.266927,34.415756,-20.724004343158132,93.72193241976952,14.833834648132324,NED-LVS,-24.828267168240707,11.243306867296283,175108354632.80643,6.028,5.706159,5.597467,,,,,,,,0.0027218831237405,True,Sbc,False,False,36.063706390585104,0,20,8.13293228149414,64.19663867207925
26,1,NGC 2841,140.5111052,50.9766067,44.15131931294787,166.94189131519192,14.662229061058069,CF4,-24.769,11.219600000000002,165805907510.89236,6.062,5.933365,5.933222,,,31.435,,,,,0.0021180000621825,True,Sb,False,False,35.28795811518322,0,20,8.270216751153544,63.55817486633677
87,1,NGC 0253,11.8880416666667,-25.2880833333333,-87.96389171492986,97.37203606887392,3.7,LVG,-24.069008620334976,10.939603448133992,87016868093.49123,3.772,3.4677956,3.2814667,27.79,,27.655,,5.0,7.9,3.8,0.000806999974884,True,,False,False,26.125767281871415,0,20,17.04,63.16576728187142
19,1,NGC 4699,192.2590681,-8.6644226,54.20259275372384,301.9171251553796,19.453600816226633,CF4,-24.944,11.2896,194804955329.07657,6.501,6.242595,6.2631264,,,31.445,,,,,0.0046500000171363,True,SBb,False,False,37.57853403141353,0,20,4.437119347018694,62.015653378432226
7,1,NGC 4753,193.091951,-1.1996105,61.67125273576919,303.4217243994919,24.479356661960654,CF4,-25.222,11.400800000000002,251651776161.4655,6.722,6.4559145,6.4688225,,31.944,,,,,,0.003878999967128,True,SO,False,False,41.217277486910966,0,20,0.41651467043147594,61.63379215734244
34,1,NGC 1097,41.57941,-30.27491,-64.68054398202152,226.91473425444215,15.031419660900232,CF4,-24.633000000000006,11.165200000000004,146285068699.9867,6.252,5.979577,5.8761954,,,30.885,,,,,0.004240000154823,True,SBb,False,False,33.50785340314142,0,20,7.974864271279813,61.48271767442123
55,1,NGC 3521,166.45242083333,-0.03586388889,52.82924899224688,255.531766081568,10.7,LVG,-24.36391888842605,11.05756755537042,114174089087.29031,5.783,5.491012,5.4010744,,,30.495,,4.0,9.8,5.8,0.0026650000363588,True,,False,False,29.985849324948248,0,20,11.440000000000001,61.425849324948246
45,1,MESSIER 065,169.732983,13.0923076,64.22167415709814,241.33128596182664,12.73503081016661,CF4,-24.459,11.0956,124623516048.65166,6.066,5.924371,5.925916,,,30.525,,2.0,10.3,6.1,0.002678999910131,True,,False,False,31.230366492146505,0,20,9.811975351866714,61.042341844013215
33,1,NGC 5005,197.7344369,37.0590444,79.24913267075664,101.61346667680895,16.550076287699913,CF4,-24.65,11.172000000000002,148593564228.7015,6.444,6.313764,6.241218,,,31.765,,,,,0.0031560000497847,True,SBbc,False,False,33.7303664921466,0,20,6.75993896984007,60.49030546198667
77,1,MESSIER 063,198.9553691,42.0293247,74.28760880970877,105.99752417515133,9.04,LVG,-24.17284215237682,10.981136860950729,95749576321.11037,5.608,5.279163,5.2081323,29.73,,29.645,,4.0,9.3,5.6,0.0016680000117048,True,,False,False,27.484844926398132,0,20,12.768,60.25284492639813
83,1,MESSIER 051a,202.469625833333,47.1952073611111,68.56073431125408,104.85144173208428,8.340651974086636,CF4,-24.11,10.956,90364947372.23042,5.496,4.9111376,4.8019648,29.61,,,,,,,0.001744540175423,True,,False,False,26.662303664921396,0,20,13.327478420730689,59.98978208565208
23,1,NGC 3585,168.3212716,-26.7548477,31.17544309617513,277.24637563372966,20.15579812825191,CF4,-24.819,11.2396,173620099190.14227,6.703,6.313658,6.364159,,31.584,,30.716,,,,0.0047829998657107,True,E,False,False,35.94240837696325,0,20,3.875361497398473,59.81776987436172
61,1,NGC 4565,189.086546,25.98768858,86.43786242801423,230.75496403937012,11.8686138464492,CF4,-24.312,11.0368,108842873794.35974,6.06,5.711347,5.6450543,30.36,31.224,30.535,,,,,0.0042759999632835,True,Sb,False,False,29.30628272251301,0,20,10.505108922840641,59.81139164535365
79,1,NGC 1291,49.3272962,-41.107977,-57.042609787571585,247.523896527681,9.08,LVG,-24.132429242605426,10.964971697042172,92251130516.2751,5.658,5.3566628,5.3763924,29.74,,,,1.0,9.4,5.7,0.0027989998925477,True,,False,False,26.955880138814464,0,20,12.736,59.69188013881447
14,1,NGC 4125,182.025071,65.174133,51.33907435696776,130.1897034349388,23.528812019381697,CF4,-25.002999999999997,11.3132,205683758662.7888,6.855,6.579667,6.625122,,31.934,,,,,,0.0042732898145914,True,E,False,False,38.350785340314054,0,20,1.1769503844946438,59.5277357248087
74,1,MESSIER 066,170.0625441,12.9916144,64.41865948477363,241.96080026503057,10.313355783043844,CF4,-24.186,10.9864,96917008394.72945,5.881,5.5835557,5.4829087,30.21,,29.685,,4.0,9.7,5.9,0.0024079999420791,True,,False,False,27.657068062827157,0,20,11.749315373564926,59.40638343639208
13,1,NGC 1395,54.6244708333333,-23.0274722222222,-52.12013421364589,216.21176616796345,24.277278476809965,CF4,-25.031999999999996,11.3248,211251596624.0851,6.894,6.5950584,6.6563716,,31.934,,31.846,,,,0.0057270000688731,True,E,False,False,38.7303664921465,0,20,0.5781772185520273,59.30854371069853
47,1,NGC 4636,190.70761,2.6878,65.4728760461698,297.7481004961322,14.89361077710914,CF4,-24.44299999999999,11.089199999999998,122800461798.87833,6.422,6.166502,6.2149525,,30.844,,31.176,,,,0.0031290000770241,True,E,False,False,31.02094240837684,0,20,8.08511137831269,59.10605378668953
