STAR252 186.568588 13.175578 17.514 0.001 0.616 0.001 0.882 0.001    -10   9
STAR253 186.572571 13.323561 19.595 0.002 0.518 0.002 0.762 0.002    -45  17
STAR254 186.582184 12.866405 19.964 0.002 0.487 0.003 0.682 0.003    -15  18
STAR255 186.585373 12.111219 18.470 0.001 0.507 0.001 0.739 0.002    -11   5
STAR256 186.590958 11.570631 20.336 0.004 0.534 0.004 0.813 0.005    140  20
STAR257 186.595505 12.779105 19.471 0.002 0.586 0.002 0.836 0.002      6  16
STAR258 186.596527 11.831586 20.515 0.005 0.522 0.004 0.767 0.006    -73  20
STAR259 186.601578 12.686244 19.023 0.001 0.590 0.002 0.855 0.001    -27   8
STAR260 186.605484 12.019908 20.690 0.006 0.486 0.005 0.752 0.007   -150  28
STAR261 186.609482 11.623844 18.245 0.001 0.553 0.001 0.853 0.001    144   6
STAR262 186.611145 12.397272 20.220 0.003 0.689 0.004 1.068 0.005    -34  19
STAR263 186.618958 12.274436 20.052 0.003 0.820 0.004 1.328 0.005    144  21
STAR264 186.621918 12.732844 18.360 0.001 0.626 0.001 0.916 0.001     -6   7
STAR265 186.621948 11.793144 20.445 0.004 0.550 0.004 0.837 0.005     98  16
STAR266 186.623032 13.237208 17.390 0.001 0.454 0.001 0.705 0.001      2  11
STAR267 186.629456 13.302400 18.641 0.001 0.580 0.002 0.893 0.002     69   7
STAR268 186.630585 12.568614 18.468 0.001 0.494 0.001 0.759 0.001    211   9
STAR269 186.630997 12.527908 19.527 0.002 0.485 0.002 0.742 0.002     75  16
STAR270 186.632523 11.708134 17.660 0.001 0.570 0.001 0.877 0.001     24   9
STAR271 186.634048 12.058778 19.225 0.002 0.491 0.002 0.716 0.002   -124  10
STAR272 186.634399 12.420167 20.805 0.005 0.791 0.007 1.217 0.008     25  43
STAR273 186.637695 13.262359 18.290 0.001 0.672 0.001 1.087 0.001    135   8
STAR274 186.637848 12.275842 20.673 0.004 0.374 0.005 0.662 0.006     32  34
STAR275 186.639038 13.341161 17.731 0.001 0.542 0.001 0.774 0.001     46   6
STAR276 186.644012 11.724027 20.669 0.004 0.442 0.005 0.725 0.006     30  23
STAR277 186.648788 11.846117 18.810 0.001 0.520 0.001 0.757 0.002    150   7
STAR278 186.649155 12.047437 19.310 0.002 0.484 0.002 0.684 0.002     61  11
STAR279 186.649292 11.623528 19.152 0.001 0.691 0.002 1.033 0.002     55   9
STAR280 186.651428 12.407399 18.824 0.001 0.479 0.001 0.746 0.002    -18   8
STAR281 186.652573 12.162739 20.768 0.005 0.549 0.005 0.799 0.007    130  26
STAR282 186.661972 12.566109 20.359 0.003 0.646 0.004 0.949 0.005    195  20
STAR283 186.667755 12.477505 20.331 0.003 0.498 0.004 0.769 0.004    -81  15
STAR284 186.669479 11.819741 19.213 0.002 0.552 0.002 0.824 0.002    216  18
STAR285 186.676254 12.716506 19.094 0.001 0.645 0.002 1.076 0.002     32  11
