gaia_dr3_id,gaia_ra,gaia_dec,layer,pixel_scale_arcsec,width_pixels,height_pixels,url,content_type,byte_count,file_path,sha256
3907692671900370432,187.906011986219,12.294647672249,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.906011986219&dec=12.294647672249&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1672,data/literature/validation/gaia_image_cutouts/3907692671900370432_ls-dr10-model.jpg,8e04aa1f91dd46350ae12889c80f75eb6d8ec9a301fb20cb82ebec1556efebb6
3907692671900370432,187.906011986219,12.294647672249,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.906011986219&dec=12.294647672249&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,6706,data/literature/validation/gaia_image_cutouts/3907692671900370432_ls-dr10-resid.jpg,3f1c1fa4a8a0ea10dadfb25ab5cc73b6ab50a692c47e3a0fddc303dda098ffed
3907703258995508864,187.610655232813,12.345713378365,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.610655232813&dec=12.345713378365&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,7544,data/literature/validation/gaia_image_cutouts/3907703258995508864_ls-dr10.jpg,5aeac44ca56d831406d623435e82012da7cdad29ab348f27bf8aae1e246a651e
3907703258995508864,187.610655232813,12.345713378365,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.610655232813&dec=12.345713378365&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,2006,data/literature/validation/gaia_image_cutouts/3907703258995508864_ls-dr10-model.jpg,2a1b8229fe2af3d3a4f8572b515e74893b66ca6bb29479f768787fee327b865e
3907703258995508864,187.610655232813,12.345713378365,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.610655232813&dec=12.345713378365&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,7366,data/literature/validation/gaia_image_cutouts/3907703258995508864_ls-dr10-resid.jpg,58f59468535060a87152f4949d36edd07077fab82e84983c9c43b6bc548cea8b
3907706690673680384,187.612052909123,12.391959162858,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.612052909123&dec=12.391959162858&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,6270,data/literature/validation/gaia_image_cutouts/3907706690673680384_ls-dr10.jpg,aa9d698e7e9ccd54a3ec9b182e33a315d5f550fcb29952bc48238a02158a44c6
3907706690673680384,187.612052909123,12.391959162858,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.612052909123&dec=12.391959162858&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1946,data/literature/validation/gaia_image_cutouts/3907706690673680384_ls-dr10-model.jpg,53704da2b327bcd2f5ec9a4406cf38dd225d029f52cdde060277a2ed4d454f48
3907706690673680384,187.612052909123,12.391959162858,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.612052909123&dec=12.391959162858&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,6244,data/literature/validation/gaia_image_cutouts/3907706690673680384_ls-dr10-resid.jpg,e857b9af1b20068af4cd45723f8b30bc4f3d2120050d897983c8d44ffaaa8bdf
3907709615547414400,187.698740034868,12.408471310372,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.698740034868&dec=12.408471310372&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,1551,data/literature/validation/gaia_image_cutouts/3907709615547414400_ls-dr10.jpg,da0925624204df68f014c351ac8277bcd574dea16328e10e2b4fcd6c53c02f1d
3907709615547414400,187.698740034868,12.408471310372,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.698740034868&dec=12.408471310372&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1409,data/literature/validation/gaia_image_cutouts/3907709615547414400_ls-dr10-model.jpg,36b0259a41ad44953c6aa00dc51d2e6d564b7529c98bcec86fd92c3bb782373f
