object_id,name,ra,dec,g_mag,r_mag,re_pc,status
2021MNRA_0282,,54.910098,-35.345146,21.98,21.5,36.3,candidate
2021MNRA_0283,,54.553252,-35.467956,21.98,21.21,26.3,candidate
2021MNRA_0284,,54.387133,-35.281064,21.98,21.33,23.9,candidate
2021MNRA_0285,,55.067861,-35.224388,21.99,21.54,15.2,candidate
2021MNRA_0286,,54.80924,-35.350985,21.99,21.58,17.2,candidate
2021MNRA_0287,,54.773411,-35.48319,21.99,21.46,27.5,candidate
2021MNRA_0288,,54.469373,-35.514462,21.99,21.19,36.2,candidate
2021MNRA_0289,,54.526207,-35.380053,21.99,21.53,15.8,candidate
2021MNRA_0290,,54.016148,-35.457345,21.99,21.3,26.2,candidate
2021MNRA_0291,,54.915641,-35.430996,22.0,21.33,36.2,candidate
2021MNRA_0292,,54.589373,-35.405714,22.0,21.36,28.7,candidate
2021MNRA_0293,,54.615699,-35.543417,22.0,21.32,35.2,candidate
2021MNRA_0294,,54.809956,-35.35693,22.0,21.36,30.9,candidate
2021MNRA_0295,,54.681559,-35.401112,22.0,21.42,24.9,candidate
2021MNRA_0296,,55.306632,-35.491304,22.0,21.47,24.9,candidate
2021MNRA_0297,,54.318621,-35.401676,22.01,21.46,22.6,candidate
2021MNRA_0298,,54.632784,-35.509115,22.01,21.46,23.3,candidate
2021MNRA_0299,,54.963124,-35.664828,22.01,21.25,32.9,candidate
2021MNRA_0300,,54.247895,-35.033975,22.01,21.51,22.5,candidate
2021MNRA_0301,,54.611009,-35.426062,22.01,21.23,24.6,candidate
2021MNRA_0302,,54.465807,-35.526625,22.02,21.47,18.4,candidate
2021MNRA_0303,,54.54859,-35.657309,22.02,21.34,31.1,candidate
2021MNRA_0304,,54.18513,-35.406632,22.02,21.33,17.1,candidate
2021MNRA_0305,,54.801895,-35.351627,22.02,21.31,50.6,candidate
2021MNRA_0306,,54.573587,-35.474062,22.03,21.27,33.0,candidate
2021MNRA_0307,,54.723042,-35.444256,22.03,21.25,34.5,candidate
2021MNRA_0308,,54.633904,-35.415175,22.03,21.29,18.9,candidate
2021MNRA_0309,,54.666857,-35.489022,22.04,21.38,28.6,candidate
2021MNRA_0310,,54.655516,-35.262319,22.04,21.52,28.1,candidate
2021MNRA_0311,,54.539717,-35.456149,22.04,21.47,26.1,candidate
2021MNRA_0312,,54.633247,-35.247896,22.04,21.35,26.8,candidate
2021MNRA_0313,,55.265883,-35.442781,22.05,21.43,18.8,candidate
2021MNRA_0314,,54.639042,-35.54137,22.05,21.2,20.4,candidate
2021MNRA_0315,,55.047487,-35.324791,22.05,21.55,17.0,candidate
2021MNRA_0316,,54.517971,-35.463029,22.05,21.41,25.5,candidate
2021MNRA_0317,,55.557091,-35.378057,22.05,21.48,16.0,candidate
2021MNRA_0318,,54.660112,-35.518203,22.06,21.38,19.8,candidate
2021MNRA_0319,,55.274567,-35.443873,22.06,21.45,11.1,candidate
2021MNRA_0320,,54.151226,-35.366296,22.06,21.43,26.1,candidate
2021MNRA_0321,,54.567005,-35.469368,22.06,21.42,62.5,candidate
2021MNRA_0322,,54.812861,-35.54295,22.06,21.31,16.6,candidate
2021MNRA_0323,,54.69616,-35.55093,22.06,21.26,28.0,candidate
2021MNRA_0324,,54.125315,-35.003818,22.07,21.28,28.5,candidate
2021MNRA_0325,,55.307035,-35.304821,22.07,21.6,10.5,candidate
2021MNRA_0326,,54.685046,-35.501809,22.08,21.58,29.4,candidate
2021MNRA_0327,,54.585872,-35.436373,22.08,21.38,28.4,candidate
2021MNRA_0328,,54.782383,-35.532409,22.08,21.51,23.6,candidate
2021MNRA_0329,,54.457649,-35.472893,22.08,21.51,15.7,candidate
2021MNRA_0330,,54.457649,-35.472893,22.08,21.51,15.7,candidate
2021MNRA_0331,,54.334164,-35.384814,22.08,21.57,28.4,candidate
2021MNRA_0332,,54.628948,-35.532472,22.09,21.53,34.7,candidate
2021MNRA_0333,,54.531757,-35.347107,22.09,21.52,13.4,candidate
2021MNRA_0334,,54.415414,-35.373838,22.09,21.42,11.4,candidate
2021MNRA_0335,,54.037966,-35.428795,22.09,21.39,23.3,candidate
2021MNRA_0336,,54.649642,-35.437851,22.09,21.29,34.1,candidate
2021MNRA_0337,,54.643036,-35.56629,22.09,21.41,31.7,candidate
2021MNRA_0338,,54.697615,-35.630539,22.1,21.43,38.6,candidate
2021MNRA_0339,,54.360849,-35.457134,22.1,21.55,18.1,candidate
2021MNRA_0340,,54.509079,-35.64979,22.1,21.36,35.8,candidate
2021MNRA_0341,,54.664241,-35.428249,22.1,21.28,20.0,candidate
2021MNRA_0342,,54.661473,-35.428513,22.1,21.22,33.8,candidate
2021MNRA_0343,,54.665616,-35.249125,22.1,21.34,30.3,candidate
2021MNRA_0344,,54.534027,-35.510001,22.1,21.26,44.1,candidate
2021MNRA_0345,,54.85227,-35.342773,22.11,21.62,17.7,candidate
2021MNRA_0346,,54.584401,-35.338582,22.11,21.56,21.8,candidate
2021MNRA_0347,,54.547671,-35.491664,22.12,21.28,29.2,candidate
2021MNRA_0348,,54.538135,-35.484975,22.12,21.33,32.0,candidate
2021MNRA_0349,,54.589815,-35.437696,22.12,21.41,23.5,candidate
2021MNRA_0350,,54.351086,-35.382594,22.12,21.55,14.3,candidate
2021MNRA_0351,,54.737687,-35.535541,22.12,21.33,29.4,candidate
2021MNRA_0352,,54.513066,-35.473879,22.12,21.26,42.4,candidate
2021MNRA_0353,,54.837195,-35.654334,22.12,21.46,32.0,candidate
2021MNRA_0354,,54.954833,-35.818188,22.13,21.45,33.9,candidate
2021MNRA_0355,,54.312927,-35.52265,22.13,21.54,32.8,candidate
2021MNRA_0356,,54.707603,-35.580412,22.13,21.49,33.0,candidate
2021MNRA_0357,,54.641132,-35.422657,22.13,21.5,27.3,candidate
2021MNRA_0358,,54.597623,-35.513449,22.13,21.51,27.3,candidate
2021MNRA_0359,,54.540612,-35.402519,22.13,21.52,21.3,candidate
2021MNRA_0360,,54.577298,-35.469067,22.14,21.27,28.9,candidate
2021MNRA_0361,,54.638633,-35.679471,22.14,21.54,23.0,candidate
2021MNRA_0362,,54.756289,-35.441736,22.14,21.56,36.9,candidate
2021MNRA_0363,,54.248287,-35.494248,22.14,21.29,34.1,candidate
2021MNRA_0364,,54.417218,-35.539257,22.14,21.49,39.3,candidate
