KV19,ra,dec,gaia_dr3_id,gaia_aen,g_mag,gaia_bp_rp,u-r,r-z,rmag,Votes,CL,Rank,MIKE,is_ucd,confirmation_status,distance_mpc
KV19-175,200.448297599,-43.7964859572,1,11.78,17.57,1.63,0.56,-0.2,16.43,1.5,0.0,D,,1,candidate,3.8
KV19-176,200.459138387,-42.6631040507,1,3.62,16.8,1.78,,,,3.0,,C,,1,candidate,3.8
KV19-177,200.460041566,-44.0877514603,1,7.14,18.67,2.01,2.12,0.13,17.58,1.33,0.02,D,,1,candidate,3.8
KV19-178,200.466513689,-43.7554353452,1,7.32,17.93,1.83,1.16,0.69,16.97,4.0,0.0,E,,1,candidate,3.8
KV19-179,200.473561879,-41.8594407446,1,9.61,18.97,2.17,1.38,0.06,17.85,2.33,0.74,B,,1,candidate,3.8
KV19-180,200.476248428,-43.7377504862,1,5.92,14.85,1.5,,,,3.25,,D,,1,candidate,3.8
KV19-181,200.477659183,-41.1956665859,1,12.84,18.78,4.96,,,,4.0,,E,,1,candidate,3.8
KV19-182,200.481827804,-44.9990917315,1,7.35,18.57,3.87,,,,4.0,,E,,1,candidate,3.8
KV19-183,200.482715044,-42.4754609313,1,4.75,18.29,1.93,1.92,0.0,16.94,1.75,0.0,D,,1,candidate,3.8
KV19-184,200.490588501,-44.7002680519,1,12.66,14.07,1.97,,,,,,D,,1,candidate,3.8
KV19-185,200.496569437,-43.6847171385,1,6.37,16.38,1.48,1.68,0.18,15.52,1.5,2.49,A,,1,candidate,3.8
KV19-186,200.504213279,-42.2666108559,1,3.82,18.83,2.08,,,,3.67,,D,,1,candidate,3.8
KV19-187,200.505078501,-41.8141707674,1,4.19,16.49,1.82,1.95,-0.01,15.43,3.5,0.0,E,,1,candidate,3.8
KV19-188,200.510351061,-43.177241414,1,6.92,17.81,1.81,0.94,-0.17,16.55,3.25,0.01,E,,1,candidate,3.8
KV19-189,200.523200926,-41.6714528806,1,10.71,18.87,3.74,,,,4.0,,E,,1,candidate,3.8
KV19-190,200.535629282,-44.7132913404,1,14.12,16.11,1.8,1.65,-0.04,15.19,,0.01,E,,1,candidate,3.8
KV19-191,200.552232631,-41.688619406,1,7.99,18.73,3.45,,,,4.0,,E,,1,candidate,3.8
KV19-192,200.556893901,-44.9854658997,1,11.72,18.6,4.39,,,,4.0,,E,,1,candidate,3.8
KV19-193,200.560385909,-41.1726246996,1,9.73,17.98,4.86,,,,4.0,,E,,1,candidate,3.8
KV19-194,200.563916225,-40.9320449687,1,0.26,14.7,2.4,,,,4.0,,E,,1,candidate,3.8
