J1249.07-4120.77    NGC 4696        12 49 03.99 -41 20 45.96 2453.0 -11.40  45.9  0.00  8
J1249.36-4121.57    NGC 4696        12 49 21.64 -41 21 34.16 2790.0 -11.19  88.9  0.00  8
J1249.99-4124.45    NGC 4709        12 49 59.21 -41 24 27.18 5000.0 -11.18  23.3  8.94  8
J1248.97-4120.01    NGC 4696        12 48 58.25 -41 20 00.52 2962.0 -11.16  28.6  0.00  8
J1248.65-4120.34    NGC 4696        12 48 39.28 -41 20 20.58 3303.0 -11.15  33.2  0.00  8
J1248.74-4118.95    NGC 4696        12 48 44.11 -41 18 56.87 3213.0 -11.11  13.3  7.77  8
J1248.70-4118.23    NGC 4696        12 48 41.99 -41 18 13.77 2822.0 -11.10  18.8 10.17  8
J1250.07-4121.16    NGC 4709        12 50 04.49 -41 21 09.37 4952.0 -11.10  23.3  0.00  8
J1248.72-4121.23    NGC 4696        12 48 43.02 -41 21 13.54 2582.0 -11.05  37.3  0.00  8
J1249.41-4118.64    NGC 4696        12 49 24.85 -41 18 38.15 2206.0 -11.05  88.1  0.00  8
J1248.91-4117.70    NGC 4696        12 48 54.64 -41 17 42.05 2909.0 -10.99  18.3  0.00  8
J1248.99-4118.08    NGC 4696        12 48 59.65 -41 18 04.51 2806.0 -10.97  26.8  0.00  8
J1248.62-4120.63    NGC 4696        12 48 37.13 -41 20 37.79 3741.0 -10.94  39.7  0.00  8
J192.129-41.401     NGC 4696        12 48 30.88 -41 24 04.96 2650.0 -12.13  84.8  0.00  9
J192.200-41.334     NGC 4696        12 48 48.01 -41 20 01.52 2061.0 -12.06  18.4  0.00  9
J191.958-41.258     NGC 4696        12 47 49.93 -41 15 28.04 3185.0 -11.94 152.7  0.00  9
Hydra-UCD1          NGC 3311        10 36 42.50 -27 32 52.90 3352.0 -13.34  16.3  0.00 10
Hydra-UCD2          NGC 3311        10 36 19.40 -27 26 05.90 3547.0 -12.72 111.1  0.00 10
Hydra-UCD3          NGC 3311        10 36 41.90 -27 19 44.80 3354.0 -12.52 164.2  0.00 10
Hydra-UCD4          NGC 3311        10 36 34.80 -27 34 45.80 3563.0 -12.51  50.3  0.00 10
Hydra-UCD5          NGC 3311        10 36 34.40 -27 30 15.30 3804.0 -12.31  35.0  0.00 10
Hydra-UCD6          NGC 3311        10 36 43.90 -27 37 57.30 3980.0 -12.30  86.0  0.00 10
Hydra-UCD7          NGC 3311        10 36 42.10 -27 24 03.50 3986.0 -12.22 104.9  0.00 10
Hydra-UCD8          NGC 3311        10 36 43.80 -27 32 22.20 3301.0 -12.15   9.8  0.00 10
Hydra-UCD9          NGC 3311        10 35 36.70 -27 17 40.20 3137.0 -12.13 297.6  0.00 10
Hydra-UCD10         NGC 3311        10 36 31.80 -27 29 13.80 4976.0 -12.07  50.8  0.00 10
Hydra-UCD11         NGC 3311        10 36 32.40 -27 29 22.10 3784.0 -12.07  47.9  0.00 10
Hydra-UCD12         NGC 3311        10 36 45.50 -27 29 52.20 3608.0 -12.04  26.8  0.00 10
Hydra-UCD13         NGC 3311        10 36 01.90 -27 23 01.30 4254.0 -11.95 184.3  0.00 10
Hydra-UCD14         NGC 3311        10 36 31.40 -27 30 25.70 4472.0 -11.93  42.8  0.00 10
Hydra-UCD15         NGC 3311        10 36 49.30 -27 36 01.90 3655.0 -11.93  63.6  0.00 10
Hydra-UCD16         NGC 3311        10 36 41.10 -27 31 18.00 3653.0 -11.76   8.1  0.00 10
Hydra-UCD17         NGC 3311        10 36 06.00 -27 36 33.30 5082.0 -11.71 142.8  0.00 10
Hydra-UCD18         NGC 3311        10 36 43.50 -27 31 49.40 3165.0 -11.70   3.0  0.00 10
Hydra-UCD19         NGC 3311        10 36 32.00 -27 30 12.70 2412.0 -11.70  42.3  0.00 10
Hydra-UCD20         NGC 3311        10 36 14.00 -27 27 56.40 3124.0 -11.66 111.6  0.00 10
Hydra-UCD21         NGC 3311        10 36 47.40 -27 31 06.60 3716.0 -11.66  17.6  0.00 10
Hydra-UCD22         NGC 3311        10 36 58.00 -27 35 58.90 3127.0 -11.64  78.6  0.00 10
