canonical_object_id,target_ra,target_dec,classification_state,classification_subtype,query_radius_arcsec,association_method,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,ipd_frac_multi_peak,ipd_frac_odd_win,duplicated_source,gaia_dr3_id,dist_arcsec,within_query_radius,match_quality,match_status
canonical_038f00de363c50528dcf68cb61a75b1c,201.55791341,-44.552149396,candidate,,1.0,canonical_literature_gaia_dr3_id,6088339278523960960,201.55791379877851,-44.55215081450704,20.022762298583984,18.35768699645996,16.84490966796875,,,,,,,8.248510360717773,20.894668579101562,,0,0,1,6088339278523960960,0.005203112248593501,True,within_radius,matched_by_source_id
canonical_03910c2dd4ae561497facf6103c571b1,202.039585948,-42.6670684459,candidate,,1.0,canonical_literature_gaia_dr3_id,6088807533037566592,202.03958569411301,-42.66706801808536,19.765905380249023,18.644018173217773,17.092805862426758,2.186806260655571,0.9750180244445801,-0.8316735333696286,1.1050349473953247,0.8990378358087009,0.982047975063324,5.438973903656006,15.729177474975586,1.4871809482574463,0,0,0,6088807533037566592,0.0016803801758489467,True,within_radius,matched_by_source_id
canonical_042b89776c5b5483b8a0b1469319238a,202.133343385,-41.6823310121,candidate,,1.0,canonical_literature_gaia_dr3_id,6136921474670302592,202.1333444126057,-41.682330576800815,19.833181381225586,18.409265518188477,16.948287963867188,-2.2329256327682385,1.2140450477600098,0.0398928878452849,1.0726399421691895,-1.069363598902397,0.9576690196990967,6.219344139099121,50.497867584228516,1.7128340005874634,0,0,0,6136921474670302592,0.003176336362280925,True,within_radius,matched_by_source_id
canonical_0512d6da73d95b00afd77b07b25b98cc,203.66649248,-41.5247760126,candidate,,1.0,canonical_literature_gaia_dr3_id,6112951777588022656,203.6664907711129,-41.52477614773162,16.007183074951172,15.720215797424316,14.795772552490234,0.4557157249369073,0.0881970003247261,-2.9054261412235083,0.10230500251054764,-2.696642742127217,0.0776899978518486,0.5400109887123108,21.51337432861328,1.9619640111923218,87,3,0,6112951777588022656,0.004631427422237619,True,within_radius,matched_by_source_id
canonical_054d6379b7e957adbe41e3580141179f,201.461294299,-41.32902009,candidate,,1.0,canonical_literature_gaia_dr3_id,6137175668011791104,201.4612938228754,-41.32901994973052,18.92162322998047,19.054353713989258,17.55802345275879,-0.5769292500664844,0.369922012090683,-2.030851910148301,0.4068639874458313,1.4730023913147543,0.32517701387405396,2.1230719089508057,15.539018630981445,1.7612799406051636,24,3,0,6137175668011791104,0.0013826418877182745,True,within_radius,matched_by_source_id
canonical_0558c95155b559499daa70d9680f5da5,54.150458,-35.310701,rejected,,1.0,canonical_literature_gaia_dr3_id,4860348617524358784,54.15053164404857,-35.310667009097884,21.161611557006836,21.40382194519043,20.027036666870117,,,,,,,5.740577220916748,2.793560028076172,,0,0,0,4860348617524358784,0.2485533277087274,True,within_radius,matched_by_source_id
canonical_0565e30e98a05d4d87a26012772b0388,201.215415152,-44.2007034863,candidate,,1.0,canonical_literature_gaia_dr3_id,6088386557516763392,201.2154164615335,-44.20070762062061,18.77825355529785,18.048213958740234,17.332273483276367,0.273393492755365,0.2632710039615631,-9.100429156970238,0.3272689878940582,-0.2587653985175093,0.2848930060863495,0.37566500902175903,0.3607029914855957,1.0497360229492188,9,13,0,6088386557516763392,0.015262457136280431,True,within_radius,matched_by_source_id
canonical_056b8c7a30ce525da2b4e7ff38188be8,198.84728591,-44.0928285456,candidate,,1.0,canonical_literature_gaia_dr3_id,6136217409276250624,198.84728519187505,-44.09282906241893,17.433271408081055,17.460365295410156,16.53535270690918,2.867247756987123,0.6236370205879211,-3.9428984080520952,0.6203680038452148,-3.287944087551346,0.5245670080184937,4.787964820861816,472.4793395996094,6.945549964904785,19,0,0,6136217409276250624,0.002628535928156363,True,within_radius,matched_by_source_id
canonical_05afae424f5f561a90a9388a92f11974,201.380317067,-43.0461360612,candidate,,1.0,canonical_literature_gaia_dr3_id,6088701601966550528,201.3803174268334,-43.04613611761127,18.55061912536621,18.075870513916016,16.8194637298584,-0.2656972131485852,0.5054870247840881,-0.5927150229508406,0.6257320046424866,0.2438336914242456,0.45336100459098816,3.3799688816070557,32.959537506103516,1.9668450355529785,0,0,0,6088701601966550528,0.0009682212540632425,True,within_radius,matched_by_source_id
canonical_05b62aaca11a5f9d802685941ef0558f,200.245369264,-44.8101465119,candidate,,1.0,canonical_literature_gaia_dr3_id,6087992004647704832,200.24537000303116,-44.81014779835678,19.4199161529541,17.732683181762695,16.135831832885742,,,,,,,6.555655002593994,28.729846954345703,,0,0,0,6087992004647704832,0.005001104034320272,True,within_radius,matched_by_source_id
