source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,astrometric_matched_transits,astrometric_params_solved,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,non_single_star,radial_velocity,radial_velocity_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_variable_flag,ra_error,dec_error,dist_arcsec,object_id
6088491801399568128,203.09028561808344,-43.42889816590284,17.970491409301758,18.00182342529297,16.641923904418945,,,,,,,9.993998527526855,1148.79248046875,,144,23,21,24,3,0.0,0.9875180125236511,0,,,214.7794189453125,100.5830307006836,142.14576721191406,2.135586977005005,V,1.1635069847106934,1.2409019470214844,0.012815254537035399,2020ApJ...899..140W_0525
6087418574969344896,203.10907034391656,-44.76772602940636,18.79631805419922,18.671682357788086,17.79838752746582,0.4722612897176369,0.2887290120124817,-6.597170958742518,0.35057300329208374,0.1709209541259339,0.2701979875564575,1.4663389921188354,9.11945629119873,1.6732230186462402,254,29,30,27,31,0.0001320000010309741,0.9998430013656616,0,,,282.75323486328125,35.54322814941406,37.854312896728516,1.8687560558319092,N,0.26629799604415894,0.2076440006494522,0.005779463478339053,2020ApJ...899..140W_0526
6112873884062700800,203.1147346216723,-41.82994708583361,19.576541900634766,18.239564895629883,16.655250549316406,,,,,,,8.760026931762695,123.11412048339844,,212,30,29,24,3,1.0,0.0,0,,,97.91508483886719,103.50511932373047,121.98118591308594,8.689437866210938,N,1.2031019926071167,1.0818519592285156,0.0022870649092572555,2020ApJ...899..140W_0527
6087655141770563712,203.115347468543,-44.26425769499609,18.588058471679688,18.42919921875,17.123477935791016,,,,,,,1.2320499420166016,3.0797839164733887,,91,6,7,8,3,0.0016339999856427312,0.9957129955291748,0,,,184.2729034423828,25.658475875854492,9.523560523986816,2.461461067199707,N,0.35989999771118164,0.4263800084590912,0.0028792371761421176,2020ApJ...899..140W_0528
6112529290251088256,203.11680160555866,-43.14655819226303,17.771682739257812,18.013044357299805,16.703304290771484,-0.8822863586619848,0.2591800093650818,-9.416261851771072,0.27527299523353577,0.3593610018888522,0.26024898886680603,1.809188961982727,35.02474594116211,2.1006240844726562,239,32,29,28,95,2.300000051036477e-05,0.9999669790267944,0,,,449.4181823730469,55.27199172973633,134.853759765625,1.7067279815673828,N,0.22059200704097748,0.1999170035123825,0.004536965853453959,2020ApJ...899..140W_0529
6087660364449033344,203.1250119306466,-44.08911160722425,17.17470932006836,17.347312927246094,16.317533493041992,0.4364800504624062,0.24994300305843353,-8.607878379133453,0.22130000591278076,-5.322507852773027,0.29756999015808105,1.4757009744644165,57.906951904296875,2.7817790508270264,242,29,29,29,95,9.999999974752427e-07,0.9999359846115112,0,,,621.3875732421875,62.566951751708984,43.76248550415039,1.5456299781799316,N,0.17092600464820862,0.23086699843406677,0.005368913365156601,2020ApJ...899..140W_0530
6087740079040599040,203.12700313851838,-43.488190247791294,18.658071517944336,18.714513778686523,17.62879753112793,-3.9426483572102278,0.9195950031280518,-3.423284363794509,0.8140659928321838,-1.191205228796488,0.9786949753761292,6.442677021026611,226.94610595703125,4.707316875457764,164,25,25,24,95,3.999999989900971e-06,0.9999600052833557,0,,,205.5375518798828,28.09584617614746,55.83002471923828,1.774711012840271,N,0.708279013633728,0.7850350141525269,0.004402194419625846,2020ApJ...899..140W_0531
6087656997200033024,203.15331432183422,-44.150682490910235,18.80292320251465,18.64520263671875,17.65584373474121,-0.2428166077548259,0.34769201278686523,-8.83759753294788,0.36041998863220215,-3.790853196214455,0.7531620264053345,1.2708790302276611,4.169669151306152,1.3393419981002808,152,18,18,18,95,0.0001230000052601099,0.9998409748077393,0,,,218.3509063720703,48.21854019165039,62.9029426574707,2.0493240356445312,N,0.2713409960269928,0.5859779715538025,0.009310784592817417,2020ApJ...899..140W_0532
6087732790481837824,203.15958271222897,-43.69267924000409,17.114648818969727,17.233936309814453,15.674797058105469,,,,,,,8.91232967376709,2731.74755859375,,181,25,26,24,3,7.000000096013537e-06,0.9802330136299133,0,,,314.25030517578125,192.24354553222656,292.9844970703125,2.23521089553833,N,0.9274569749832153,1.3812639713287354,0.011674355192990675,2020ApJ...899..140W_0533
6112925316293980416,203.1718803813507,-41.31944429525894,17.704191207885742,17.670297622680664,16.45428466796875,,,,,,,12.028230667114258,1565.980712890625,,206,17,16,24,3,8.399999933317304e-05,0.996819019317627,0,,,184.3242950439453,64.91842651367188,139.15660095214844,2.079206943511963,N,1.4360589981079102,1.3226749897003174,0.005548780115913166,2020ApJ...899..140W_0534
