field_id,ra,dec,n_total_candidates,n_model_c,density,status,glon,glat
200,245.4467007326863,-17.28366734794444,12735,5477,2738.5,success,358.03873623376006,22.38480606091602
202,12.006119684977165,-25.38142395112481,1695,1074,537.0,success,99.0827232453096,-88.09289575541885
201,17.902150051568263,19.44745717259065,1668,959,479.5,success,129.45713064984986,-43.16858543993092
203,178.46770128996587,38.46755250097742,1422,832,416.0,success,166.0508551899442,73.45831205247286
205,274.16250484246865,42.80613487146778,6231,3065,1532.5,success,70.31727549239145,24.11573403913503
204,65.09903904542942,1.2327885582908082,2204,1170,585.0,success,192.25447706414033,-32.34783386439708
206,261.22488515139923,24.5820939832374,5534,2848,1424.0,success,47.35206215686256,29.214096380724435
207,227.46623505618655,8.27861562774716,2358,1255,627.5,success,9.528493841090809,52.23642036961038
209,304.9163465563426,-33.13993316277438,6240,2776,1388.0,success,9.07742571221853,-31.9466977511478
208,13.99471756043742,-56.44833430890318,1960,1093,546.5,success,301.6510584378815,-60.66862333808871
211,231.47912048724143,53.58299824281864,1784,940,470.0,success,86.64684272936941,51.23679404186791
210,133.53312511053304,-1.2421398544696347,3155,1732,866.0,success,229.25704426122076,26.361531479112895
212,253.24191993896707,1.8322631584227864,8333,3927,1963.5,success,20.17139446840899,27.01308898960535
213,226.7326135995771,21.245026039422175,1790,953,476.5,success,29.586236607630813,58.64329462523979
215,239.08315139342224,60.680236826488034,2163,1186,593.0,success,93.29622306277754,44.353795266252504
214,59.63026215457689,26.325270335838404,4866,2408,1204.0,success,167.00212610182845,-20.129187443437335
217,182.58981966300476,-18.69520534006356,2142,1058,529.0,success,289.5576655751832,43.10722535474695
218,157.2678170305608,-1.957760312047524,1454,703,351.5,success,247.51347716004184,45.05013775323513
216,23.41255412158416,-2.8717148354054154,1389,838,419.0,success,147.33817191454503,-63.725110712241886
221,167.37284594558002,0.2957121887878264,1473,811,405.5,success,256.3390742104243,53.680059630132305
219,355.2435212692833,-65.81997200100035,2410,1241,620.5,success,313.9968467703949,-49.76716498582477
220,220.55487635351915,4.881686362429325,1840,880,440.0,success,357.74262650883196,55.48400008864243
222,235.38629730111103,27.48915243112013,2090,1283,641.5,success,43.57648594646581,52.40182590223326
223,133.94587632778263,6.714297596321932,2566,1544,772.0,success,221.60691035023777,30.643108762053895
224,352.8358788713429,-34.195921951866794,1663,912,456.0,success,5.685755013402164,-71.4243448949328
225,143.28503298941428,54.850829399023986,1551,894,447.0,success,161.1044383513712,44.836872056852975
227,78.23296519523143,-30.350713427316183,2664,1522,761.0,success,232.94586305447132,-33.397024025625214
228,226.75705774016413,33.29599210975463,1810,1112,556.0,success,53.20821396145511,60.2012747580593
226,28.11986979592065,5.988790307385173,1252,679,339.5,success,149.2014525855828,-53.740463690962976
229,221.69187387413507,48.445883694820814,1601,907,453.5,success,84.35391102763198,59.13693324180717
232,171.90917361484662,-17.30979357049397,1992,1058,529.0,success,275.98003951862034,41.135066373900166
230,82.6606122858612,-18.995680198163637,3763,2039,1019.5,success,221.9490005441745,-26.038929510252196
231,157.24616068162783,-27.669349577202706,3692,1824,912.0,success,268.11618395878224,25.40689403372903
233,9.671770056023997,-52.57469324356085,1800,1021,510.5,success,307.4246106133341,-64.4421895407343
235,343.52848480713953,-34.70482425425825,1867,1002,501.0,success,8.859533792600153,-63.82806309343453
234,2.0230292412921713,40.52306327556143,4979,2741,1370.5,success,114.08998852316964,-21.603316843771537
237,234.09076805893895,54.80719487989191,1909,1050,525.0,success,87.28557896434164,49.32219356827465
236,254.50377349254975,17.55722685234391,5135,2939,1469.5,success,37.15773967068706,32.721429417134765
238,187.04802332451985,42.85436627686266,1466,846,423.0,success,138.15581865565423,73.57994847324905
239,219.4087213399936,-36.26463248570487,11576,4406,2203.0,success,325.77967544392567,21.851390196271957
240,238.5188954472844,12.65926311214616,2649,1344,672.0,success,23.501188228978688,44.978472984199016
243,9.022682763402567,-1.9747802449395264,1605,933,466.5,success,113.96932750490824,-64.5791268975181
241,50.60282810026333,-6.089787846940407,1375,725,362.5,success,189.47425419321488,-48.43210099604782
242,22.447202239626776,-48.48572211980793,1687,983,491.5,success,286.2507659142233,-67.38158718272238
244,188.57383992120876,-3.683971244772812,1659,870,435.0,success,294.6281640956809,58.911115847737456
245,320.81638633186566,-20.158915980584176,3255,1646,823.0,success,29.573767901511708,-42.14533589417291
247,329.7639088247252,-15.738676737893469,2411,1256,628.0,success,39.78854304840054,-48.5214394310064
246,176.6118433469519,-25.52093161112677,2977,1583,791.5,success,284.96259554913104,35.07281392552144
248,43.6700069341957,2.993338716784509,1527,827,413.5,success,172.38624591925384,-47.6910522354411
249,66.4625137532063,-20.01634408453288,2008,1177,588.5,success,216.7449414451065,-40.71341612180603
250,200.49376787392208,-2.962862573105981,1787,982,491.0,success,317.86849794732046,59.02044844324879
252,286.3056255496665,57.08156894651375,6272,3015,1507.5,success,87.48486058463573,20.713818793941183
251,314.3341022137022,-29.872722934573424,4403,2288,1144.0,success,15.174783705269691,-39.05418925164015
253,181.49269106722076,10.131186243680142,1478,816,408.0,success,268.54748739183566,69.90684859988403
255,349.7703193412222,-22.06673442088973,1603,875,437.5,success,41.44099907147208,-68.4396539919114
254,119.11993435263122,63.43632941489754,2633,1549,774.5,success,153.0872401132091,31.2846164986841
256,311.85819499118816,-48.77685263177078,4058,1828,914.0,success,350.671805679227,-38.85084703276039
257,357.5467243102925,-41.16977393039964,1438,778,389.0,success,340.89215625759806,-71.1443933517885
259,222.28063676505136,14.226318862862296,1936,1028,514.0,success,13.682294139795896,59.711191991181536
258,63.877305783163514,-20.897697790566212,1778,1023,511.5,success,216.8296466706998,-43.29012923575101
260,111.61097430501272,61.64277496145102,2952,1655,827.5,success,154.9668056366139,27.747966064490154
262,195.7424072726154,-4.18853428282601,1896,991,495.5,success,308.4503338176536,58.55959957651197
261,70.2565178382822,-0.2436271838153713,3026,1616,808.0,success,196.91025159036732,-28.781640495126865
263,23.451767363604375,-1.658245083534631,1416,846,423.0,success,146.44710539066978,-62.579610429296864
264,267.46902933223083,-76.27073528788775,9214,4365,2182.5,success,317.2999070077794,-22.76158269240483
265,68.88658281563244,-11.843523803023809,2287,1392,696.0,success,208.2326707883848,-35.473379430563426
266,313.34149666055765,77.26174336068517,4601,2402,1201.0,success,111.2505338161033,20.19489537576856
267,330.4815278859497,-28.010349115353648,2552,1412,706.0,success,21.476930021255896,-52.61559830755178
269,14.810622816146996,-20.706504580250808,1217,693,346.5,success,138.85957441507492,-83.33556206606798
268,141.1079882494803,26.24753747940827,1630,903,451.5,success,201.6576426255006,44.092406099191
